
1 Ceres (21 Sept. 2002), 241.6 , 1.4, 470.5 ,  25.0,  0.74 ,  0.02, 240.5, 475.5 , 3.9, 0.11, 0.98, 7.47, C, G, 9.07 
1 Ceres (22 Sept. 2002), 241.8 , 1, 467.7 ,  25.0,  0.74 ,  0.01, 240.6, 475.5 , 3.9, 0.11, 0.98, 6.93, C, G, 9.07 
2 Pallas (3 Oct. 2001), 230.9 , 1.6, 279.1 ,  18.0,  0.71 ,  0.02, 227.6, 266 , 3, 0.16, 0.95, 16.42, B, B, 7.813 
2 Pallas (22 Sept. 2002), 221.6 , 1.3, 276.0 ,  17.0,  0.78 ,  0.02, 223.5, 266 , 3, 0.16, 0.95, 13.51, B, B, 7.813 
2 Pallas (22-23 Aug. 2003), 245 , 3, 291.7 ,  15.0,  0.74 ,  0.04, 243.3, 266 , 3, 0.16, 0.95, 17.93, B, B, 7.813 
3 Juno, 292.8 , 7, 135.7 ,  11.0,  0.67 ,  0.07, 284.6, 134 , 3, 0.15, 0.95, 25.27, Sk, S, 7.21 
4 Vesta (2 Oct. 2001), 250.5 , 1.3, 262.7 ,  19.0,  0.75 ,  0.01,250.2, 265 , 5, 0.24, 0.95, 20.66, V, V, 5.342 
4 Vesta (3 Oct. 2001), 246.8 , 1, 256.4 ,  18.0,  0.80 ,  0.01, 250.2, 265 , 5, 0.24, 0.95, 20.47, V, V, 5.342 
9 Metis, 282.2 , 12.1,  78.2 ,   7.0,  0.75 ,  0.14, 281.7, 95 , 10, 0.18, 0.95, 28.32, , S, 5.079 
10 Hygiea (3 Oct. 2001), 229.7 , 3.2, 224.0 ,  13.0,  0.80 ,  0.05, 233.3, 204 , 3, 0.07, 0.98, 10.8, C, C, 27.623 
10 Hygiea (21 Sept. 2002), 219.7 , 3.7, 209.7 ,  13.0,  0.81 ,  0.06, 223.6, 204 , 3, 0.07, 0.98, 13.46, C, C, 27.623 
10 Hygiea (22 Sept. 2002), 218.8 , 2.6, 213.8 ,  13.0,  0.82 ,  0.04, 223.6, 204 , 3, 0.07, 0.98, 13.24, C, C, 27.623 
11 Parthenope, 264.2 , 3.4,  65.5 ,   5.0,  0.74 ,  0.04, 262.7, 76.67 , 2, 0.18, 0.95, 20.31, Sk, S,  
15 Eunomia, 269.1 , 9, 145.7 ,   8.0,  0.78 ,  0.11, 271.1, 127.67 , 8, 0.21, 0.95, 9.17, S, S, 6.083 
